x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,label
0.4061872,0.24582522,-0.17292131,0.9994629,0.40728444,0.23058479,-0.14089112,0.9991494,0.39274597,0.22764856,-0.17218311,0.9989417,0.402292,0.2381756,0.031492643,0.99873435,0.37423402,0.2338648,-0.10242357,0.9983608,0.40571275,0.2624807,-0.10523363,0.9990508,0.39704636,0.26139912,-0.1449641,0.99844784,0.3970733,0.33139855,0.2114108,0.9981645,0.34487706,0.31271714,-0.15165393,0.99974,0.38966125,0.43023485,0.2780301,0.30679753,0.32697898,0.41679943,-0.19496025,0.91358507,0.42217866,0.48463598,0.13533415,0.46380752,0.3982492,0.46134296,-0.18966085,0.934143,0.40500218,0.5506563,0.10794447,0.99654627,0.3592862,0.5553443,-0.10778709,0.9984991,0.41630632,0.7247385,0.058118753,0.7199841,0.37669456,0.73351425,-0.11654852,0.95668286,0.41837478,0.90548813,0.16264111,0.8194185,0.3897918,0.9218954,-0.031093989,0.9658863,0.40752488,0.92990535,0.1645121,0.7953027,0.38410538,0.948618,-0.03059873,0.90025014,idle
0.4091186,0.24606141,-0.1729826,0.9995056,0.41011572,0.230912,-0.14131388,0.9992019,0.3953532,0.22776265,-0.17258939,0.99903315,0.40419826,0.23823684,0.028660933,0.9987143,0.37650788,0.23404889,-0.112252735,0.9985172,0.40840754,0.262855,-0.105906405,0.99909097,0.39979765,0.2618383,-0.14625439,0.9985851,0.3980431,0.331271,0.20600212,0.9982042,0.34658322,0.3134597,-0.1673558,0.99976313,0.3935811,0.43030575,0.28372243,0.28557244,0.32806933,0.41692552,-0.21070974,0.92202485,0.4304791,0.4843152,0.15438908,0.4410166,0.40129766,0.4615343,-0.21265447,0.9400042,0.40785187,0.5534991,0.110781565,0.99664044,0.36668164,0.5586831,-0.11066423,0.9985253,0.41615134,0.72700024,0.088243134,0.7305583,0.38361436,0.7375855,-0.105632424,0.95863056,0.4225247,0.905607,0.21379478,0.8279278,0.38777155,0.9220502,0.00701421,0.9673852,0.41306525,0.928192,0.21793482,0.80603087,0.382055,0.94977623,0.011007272,0.9012871,idle
0.41101354,0.24632433,-0.15934812,0.99952984,0.4119288,0.23129229,-0.12971956,0.9992062,0.39786065,0.22809334,-0.16238236,0.99909836,0.4056658,0.23826861,0.031645484,0.99850714,0.37854248,0.23422642,-0.11014587,0.998648,0.4099977,0.26323023,-0.09591299,0.99906266,0.40161508,0.2622352,-0.1384409,0.99869055,0.39874244,0.33110303,0.20369665,0.99814093,0.34839278,0.31353578,-0.16682371,0.99978274,0.39748073,0.43010625,0.27952358,0.26523596,0.33096284,0.4177209,-0.21484032,0.9296055,0.43196875,0.48411462,0.15238062,0.4174637,0.40472347,0.46163246,-0.21300682,0.9452689,0.41095838,0.5537017,0.109448336,0.99653715,0.36995986,0.558706,-0.10932628,0.9984627,0.4170154,0.7269534,0.09220077,0.73277605,0.38907257,0.7375335,-0.10370622,0.95799077,0.42032808,0.9052488,0.20354676,0.83035666,0.3886845,0.92227024,-0.00048676616,0.9665236,0.41195235,0.92567,0.20641813,0.81155246,0.38047153,0.9505523,0.0028424528,0.8969542,idle
0.41219354,0.24688146,-0.15344721,0.99954885,0.41348395,0.23209257,-0.1239351,0.9992091,0.3989525,0.22855559,-0.15686266,0.99915546,0.4072481,0.23843804,0.036357686,0.9982936,0.37977564,0.23435757,-0.108164586,0.9987653,0.41098562,0.26397526,-0.090283915,0.99902666,0.40248317,0.26287723,-0.1332555,0.99878067,0.39942402,0.33077157,0.21055333,0.99801534,0.34993276,0.31372502,-0.1655293,0.9997998,0.39849466,0.4298539,0.28772455,0.24390069,0.3335817,0.41949168,-0.21335816,0.93639886,0.4312386,0.4850887,0.15642096,0.3884177,0.40698147,0.46155244,-0.20138733,0.94978684,0.412328,0.5536262,0.111801445,0.99638647,0.3691165,0.5584789,-0.11167029,0.9983693,0.4198629,0.72704667,0.082892254,0.74258554,0.3904523,0.7376945,-0.105753005,0.95993197,0.42287523,0.90691143,0.18887368,0.8382256,0.38873824,0.92317104,-0.020334564,0.9677882,0.41327733,0.9261026,0.19080117,0.8200295,0.37952548,0.95095706,-0.018840676,0.8969631,idle
0.412924,0.24689467,-0.14910735,0.9995527,0.41420278,0.23213628,-0.11955662,0.99918485,0.39993337,0.22864002,-0.15203768,0.99919,0.40812188,0.23847458,0.04114128,0.99800926,0.38081592,0.23451732,-0.10655795,0.998862,0.41187492,0.26395333,-0.08579527,0.9989649,0.4033714,0.26281193,-0.12812623,0.99884963,0.40290636,0.33079544,0.21135333,0.9979657,0.34969527,0.31391683,-0.16039868,0.99981433,0.40317863,0.42991644,0.27819237,0.226565,0.33622926,0.4218716,-0.20722406,0.94250226,0.43478733,0.48496056,0.14467454,0.36846778,0.40845838,0.4615056,-0.19618827,0.9539284,0.41247517,0.5534541,0.11109741,0.9962854,0.36805028,0.5578113,-0.11095508,0.99828094,0.41877994,0.72745186,0.07869593,0.74930304,0.39108577,0.73766094,-0.10877626,0.96089995,0.42187935,0.90688765,0.18104123,0.8441286,0.38941866,0.92332745,-0.024126466,0.9680974,0.41379315,0.9261545,0.1825265,0.8268886,0.37945348,0.95161986,-0.02265184,0.8947553,idle
0.4136868,0.24693911,-0.15324388,0.99955755,0.4150826,0.23219255,-0.123594925,0.9991651,0.40080866,0.228684,-0.15410498,0.9992205,0.408987,0.23850459,0.03817516,0.99776906,0.38195848,0.23464423,-0.10542804,0.9989492,0.41260797,0.26398352,-0.089644805,0.9989195,0.40394706,0.26283735,-0.12973395,0.9989138,0.4042368,0.33081576,0.20908165,0.9979572,0.3499418,0.3140835,-0.15787938,0.9998273,0.40614596,0.4300347,0.2702187,0.21301891,0.33891717,0.42351535,-0.20043607,0.94795436,0.4382469,0.48465446,0.11024244,0.3568278,0.41138953,0.46134713,-0.19143233,0.95761436,0.41276416,0.55336577,0.110397376,0.9962474,0.3681314,0.557728,-0.11023309,0.9982272,0.4186427,0.7283016,0.076999925,0.7548669,0.39126796,0.73770773,-0.109934844,0.9610326,0.42094693,0.9068614,0.18060237,0.8483737,0.39118817,0.9232949,-0.0102584725,0.96746755,0.41283616,0.926302,0.18217757,0.83232135,0.38241783,0.9514617,-0.0078827925,0.88985175,idle
0.41491237,0.24696603,-0.1506676,0.9995639,0.41575664,0.232258,-0.1218238,0.9991532,0.4023152,0.22879316,-0.15284544,0.9992483,0.40885982,0.2385296,0.039429564,0.9976149,0.38303095,0.23473832,-0.104972646,0.9990288,0.4135944,0.2640055,-0.08686727,0.9989117,0.405459,0.26286158,-0.12746151,0.99898165,0.4050684,0.3307433,0.207569,0.9980131,0.3505887,0.31420854,-0.15748975,0.9998403,0.40799847,0.42995077,0.2626926,0.20266779,0.34023637,0.42395025,-0.19905315,0.95292485,0.43885955,0.4836613,0.09231192,0.35250318,0.41220433,0.46130338,-0.19605121,0.9611305,0.4132846,0.5530596,0.109749675,0.99630785,0.36846042,0.55767906,-0.10956385,0.9982209,0.41790825,0.728345,0.07565241,0.7624379,0.39067575,0.73778206,-0.10917459,0.96195763,0.4226141,0.90677553,0.18692535,0.8534913,0.39310393,0.9236018,-0.0018058,0.9676616,0.4146391,0.9260264,0.18965736,0.8385959,0.38395175,0.9517973,0.001044896,0.88763005,idle
0.4164733,0.24658884,-0.14009973,0.99955285,0.4166811,0.23188533,-0.11206812,0.9991014,0.4038778,0.22878902,-0.14509219,0.99925363,0.40904158,0.23841567,0.044977438,0.9973322,0.38437518,0.23481682,-0.10429808,0.99908763,0.41498765,0.26361096,-0.07770912,0.9988434,0.40737468,0.2625358,-0.12068272,0.99902135,0.40590972,0.33071584,0.2072558,0.9980019,0.35162905,0.31422812,-0.15658726,0.9998508,0.40866604,0.42998636,0.2513432,0.19103232,0.3407547,0.42395037,-0.2043777,0.95735055,0.43985587,0.48258272,0.072930545,0.34465238,0.41261643,0.46125743,-0.20405264,0.9641935,0.41353816,0.55279815,0.108381405,0.9962565,0.36892816,0.55745447,-0.10816689,0.99817586,0.41719714,0.7279766,0.07473209,0.76721823,0.3895989,0.7375968,-0.109729186,0.9624176,0.4207881,0.90516573,0.18303296,0.8568714,0.39541802,0.9233053,-0.009593195,0.96772546,0.41275477,0.9249741,0.18535069,0.84294957,0.38712928,0.95076555,-0.0077466755,0.88637316,idle
0.41843468,0.24631496,-0.119845584,0.9994466,0.4178657,0.23134603,-0.09382445,0.9987797,0.406288,0.22873259,-0.12954418,0.999136,0.40872163,0.2380319,0.050516643,0.9961214,0.3859936,0.2348517,-0.10659542,0.9990589,0.41611066,0.26329112,-0.062230356,0.998451,0.4092837,0.26234832,-0.10871915,0.9989433,0.405003,0.33015046,0.20728429,0.9978438,0.35315195,0.31324658,-0.16821206,0.9998575,0.40738383,0.4287761,0.2698962,0.17864232,0.34125742,0.423885,-0.22146638,0.961266,0.43868762,0.48128808,0.13920054,0.32627904,0.41337162,0.46121916,-0.2134635,0.9665574,0.413172,0.55251884,0.10802779,0.99591905,0.36938256,0.5573523,-0.10782273,0.99800146,0.41672292,0.727542,0.07459457,0.7644976,0.3893557,0.73760396,-0.110256195,0.961335,0.4193185,0.9051619,0.17338534,0.8563646,0.39745757,0.92335606,-0.013519106,0.96729153,0.41102475,0.92542166,0.17377807,0.8441875,0.38944888,0.950956,-0.011908424,0.88694286,idle
0.4213752,0.24589235,-0.09032269,0.9993007,0.41938877,0.23027207,-0.067398496,0.99837464,0.40938273,0.22860748,-0.105942115,0.998958,0.40823516,0.23697515,0.06128654,0.99483335,0.38863355,0.23477921,-0.108167015,0.9989802,0.41805267,0.26279902,-0.038071427,0.9980319,0.41219744,0.26211274,-0.088397086,0.99882483,0.404301,0.3285651,0.20929022,0.9977556,0.35576802,0.31054085,-0.17869583,0.9998645,0.40456644,0.42667854,0.28046298,0.16767979,0.34144002,0.42184228,-0.23309334,0.9647549,0.43749648,0.48097956,0.16118903,0.30821475,0.41301388,0.46136853,-0.22278377,0.96853375,0.4134074,0.55235696,0.10824396,0.99563986,0.37031844,0.5571579,-0.10803685,0.9978572,0.4163743,0.72754306,0.078482084,0.7647162,0.3892449,0.73760855,-0.10777444,0.96128154,0.41879398,0.9052198,0.17277941,0.8574971,0.39827842,0.92321676,-0.016666519,0.96769506,0.41025013,0.9259141,0.17271449,0.8466991,0.3902834,0.950672,-0.015479684,0.889321,idle
0.42568308,0.24440736,-0.055847216,0.9990914,0.4222459,0.228049,-0.034644786,0.997812,0.4139915,0.22756808,-0.07524322,0.9987068,0.40806875,0.23470041,0.080428466,0.99321413,0.39224377,0.2339698,-0.10480893,0.99885005,0.42169777,0.26134917,-0.008451781,0.99743605,0.4166645,0.26118678,-0.06151379,0.99862653,0.4036469,0.32564682,0.22017512,0.99761117,0.35944533,0.30647817,-0.18131718,0.9998716,0.39239973,0.4218147,0.29527068,0.15698685,0.34092647,0.41625723,-0.236328,0.9679475,0.43354946,0.48097122,0.19243905,0.28638327,0.4116036,0.4616828,-0.22271696,0.97020805,0.4128592,0.55041784,0.11049239,0.9952283,0.37163225,0.5550372,-0.110319,0.99766195,0.41532612,0.72749466,0.07760915,0.75642055,0.38939074,0.7376134,-0.10987578,0.96007043,0.4181859,0.9052194,0.15022123,0.8529558,0.39804018,0.92323214,-0.044955358,0.96734035,0.4094699,0.9260293,0.14842758,0.8439322,0.38970608,0.95078534,-0.045519806,0.8915948,idle
0.4284145,0.24363285,-0.042561013,0.9987689,0.42421943,0.2267252,-0.023942,0.9969406,0.41754323,0.22685504,-0.06631618,0.99826115,0.40805998,0.232459,0.07975953,0.99075687,0.39523265,0.23262149,-0.1092353,0.9985644,0.42379642,0.2604009,0.0006533618,0.9966508,0.419698,0.2606277,-0.054918736,0.9983334,0.3979221,0.32066357,0.2171605,0.99746245,0.36226735,0.3013911,-0.19449902,0.99987787,0.38409612,0.41590637,0.28987086,0.14806119,0.34008735,0.40984532,-0.24716106,0.970725,0.4287178,0.48023516,0.19075271,0.2661307,0.41004324,0.46174383,-0.22405474,0.9709197,0.412486,0.54827493,0.114527,0.99459684,0.373956,0.55202353,-0.11440866,0.9974167,0.4151853,0.72574687,0.0929785,0.7446982,0.38966107,0.7365647,-0.11008322,0.95944333,0.41794628,0.90436417,0.15662682,0.8460058,0.397887,0.9234674,-0.04892648,0.9674018,0.4103405,0.925371,0.15238567,0.83884954,0.3894525,0.950859,-0.049473856,0.89503276,idle
0.43165842,0.24338852,-0.04474426,0.9984533,0.4264949,0.22638132,-0.026337584,0.9962871,0.42096573,0.22659428,-0.06921854,0.997941,0.4083559,0.23128481,0.07562744,0.988833,0.39802426,0.23189612,-0.11713203,0.9984624,0.4265698,0.2601358,-0.00222767,0.99596286,0.42304993,0.2605361,-0.05844616,0.99815917,0.39494532,0.31772435,0.21174416,0.9973238,0.3629922,0.3012103,-0.20240533,0.99988574,0.3701622,0.41323325,0.28691536,0.1389271,0.3256964,0.40818837,-0.247854,0.9733384,0.41795498,0.47865203,0.1772289,0.24477577,0.39589393,0.46139833,-0.20261772,0.9717931,0.41224313,0.54816544,0.12031189,0.99394935,0.37667242,0.55159944,-0.12025793,0.99724525,0.41507563,0.72663957,0.12548941,0.7330779,0.38980943,0.73805326,-0.10713132,0.95915556,0.41782886,0.90205026,0.20571215,0.8385199,0.3970192,0.9242935,-0.040675916,0.9673383,0.41035828,0.9222765,0.20536888,0.83437806,0.38728482,0.95156646,-0.038588084,0.89794785,idle
0.433321,0.24287817,-0.055531435,0.9983719,0.42812642,0.22586615,-0.035505053,0.9961515,0.42181063,0.22621635,-0.0771471,0.9979238,0.4094647,0.23063378,0.07201521,0.9883813,0.39838275,0.23175307,-0.11825089,0.99852,0.42890683,0.25963363,-0.011189716,0.9957604,0.42472377,0.26043752,-0.06576558,0.9981738,0.3955027,0.31606817,0.20771575,0.99719864,0.36304966,0.30128464,-0.20027551,0.9998943,0.36801982,0.40933913,0.28441456,0.13047053,0.31504136,0.40172324,-0.24700351,0.9758161,0.4110733,0.47921747,0.17260376,0.2251055,0.3814714,0.4605056,-0.20023844,0.97323096,0.4129967,0.54772115,0.12126706,0.9935963,0.3775859,0.55108064,-0.12122538,0.99722904,0.41499382,0.72591805,0.12677518,0.7284715,0.39000738,0.7378616,-0.10254635,0.9601929,0.41762978,0.8987168,0.21015874,0.8360286,0.39613184,0.92430776,-0.035108417,0.9683905,0.41020432,0.91881424,0.21044624,0.83340764,0.3859021,0.9515862,-0.032686327,0.90241134,idle
